Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: gluc
Parent(s): gluc_026.dat gluc_024.dat gluc_022.dat gluc_020.dat
  1.134260e+00   5.499440e-01   3.226380e-02
  1.137000e+00   5.503590e-01   3.195280e-02
  1.139730e+00   5.732820e-01   3.193090e-02
  1.142470e+00   6.349730e-01   3.245540e-02
  1.145200e+00   6.071770e-01   3.224100e-02
  1.147930e+00   6.008680e-01   3.235090e-02
  1.150670e+00   6.571680e-01   3.226730e-02
  1.153400e+00   6.023970e-01   3.248030e-02
  1.156140e+00   6.571690e-01   3.207320e-02
  1.158870e+00   6.475000e-01   3.231040e-02
  1.161600e+00   6.407650e-01   3.222810e-02
  1.164340e+00   6.356170e-01   3.229170e-02
  1.167070e+00   6.675760e-01   3.245390e-02
  1.169810e+00   6.760090e-01   3.228560e-02
  1.172540e+00   6.695500e-01   3.222590e-02
  1.175270e+00   6.034670e-01   3.213350e-02
  1.178010e+00   7.010480e-01   3.256230e-02
  1.180740e+00   6.841840e-01   3.238060e-02
  1.183480e+00   6.768010e-01   3.231850e-02
  1.186210e+00   6.896910e-01   3.226740e-02
  1.188940e+00   6.629600e-01   3.222000e-02
  1.191680e+00   6.780630e-01   3.249980e-02
  1.194410e+00   6.871500e-01   3.272570e-02
  1.197150e+00   7.258290e-01   3.234210e-02
  1.199880e+00   7.233230e-01   3.246310e-02
  1.202620e+00   7.034430e-01   3.217960e-02
  1.205350e+00   6.782630e-01   3.208090e-02
  1.208080e+00   7.268320e-01   3.235270e-02
  1.210820e+00   7.222390e-01   3.238060e-02
  1.213550e+00   7.152110e-01   3.269820e-02
  1.216290e+00   6.859920e-01   3.260680e-02
  1.219020e+00   7.204020e-01   3.237720e-02
  1.221750e+00   7.138750e-01   3.250960e-02
  1.224490e+00   7.625940e-01   3.259950e-02
  1.227220e+00   7.492640e-01   3.265970e-02
  1.229960e+00   7.632890e-01   3.478560e-02
  1.232690e+00   7.678830e-01   3.574440e-02
  1.238160e+00   7.811970e-01   3.662860e-02
  1.240890e+00   7.993160e-01   3.763300e-02
  1.243630e+00   7.465920e-01   3.866840e-02
  1.246360e+00   7.713570e-01   3.924450e-02
  1.249090e+00   7.698450e-01   3.957800e-02
  1.251830e+00   8.307130e-01   4.060470e-02
  1.254560e+00   8.683140e-01   4.036290e-02
  1.257300e+00   9.143700e-01   4.118310e-02
  1.260030e+00   7.854110e-01   4.221020e-02
  1.262760e+00   8.265640e-01   4.266470e-02
  1.265500e+00   8.258840e-01   3.880290e-02
  1.268230e+00   8.927170e-01   3.806960e-02
  1.270970e+00   8.344440e-01   3.705600e-02
  1.273700e+00   9.152660e-01   3.666410e-02
  1.276430e+00   8.816660e-01   3.587860e-02
  1.279170e+00   8.306920e-01   3.564840e-02
  1.281900e+00   9.241450e-01   3.556020e-02
  1.284640e+00   9.254000e-01   3.530550e-02
  1.287370e+00   9.354400e-01   3.545620e-02
  1.290100e+00   9.254910e-01   3.512020e-02
  1.292840e+00   9.204700e-01   3.458040e-02
  1.295570e+00   8.770780e-01   3.430990e-02
  1.298310e+00   9.219660e-01   3.420220e-02
  1.301040e+00   9.280420e-01   3.432480e-02
  1.303770e+00   9.252740e-01   3.365660e-02
  1.306510e+00   9.848750e-01   3.370960e-02
  1.309240e+00   9.773640e-01   3.432000e-02
  1.311980e+00   9.772540e-01   3.379130e-02
  1.314710e+00   9.365700e-01   3.385030e-02
  1.317440e+00   9.220460e-01   3.364440e-02
  1.320180e+00   9.072390e-01   3.359460e-02
  1.322910e+00   9.643670e-01   3.423710e-02
  1.325650e+00   9.356400e-01   3.333500e-02
  1.328380e+00   9.317810e-01   3.355090e-02
  1.331120e+00   9.495300e-01   3.343430e-02
  1.333850e+00   9.288460e-01   3.380920e-02
  1.336580e+00   9.668650e-01   3.414990e-02
  1.339320e+00   9.910250e-01   3.312420e-02
  1.342050e+00   9.610280e-01   3.360840e-02
  1.344790e+00   9.548880e-01   3.357570e-02
  1.347520e+00   9.791710e-01   3.390460e-02
  1.350250e+00   9.578080e-01   3.365750e-02
  1.352990e+00   9.607000e-01   3.369980e-02
  1.355720e+00   9.793800e-01   3.377970e-02
  1.358460e+00   9.525200e-01   3.349830e-02
