 19-May-2006       (cal_016.dat - 1.000 *Avrag04.dat) /  6.0250               
cal_016.dat   Conc = .60E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag04.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.104054E+01  0.266060E+02  0.157916E+00
  0.104283E+01  0.265168E+02  0.155850E+00
  0.104511E+01  0.258051E+02  0.156490E+00
  0.104740E+01  0.262153E+02  0.155744E+00
  0.104968E+01  0.261351E+02  0.155684E+00
  0.105196E+01  0.257442E+02  0.156292E+00
  0.105425E+01  0.255731E+02  0.154195E+00
  0.105653E+01  0.255107E+02  0.155334E+00
  0.105882E+01  0.255452E+02  0.154804E+00
  0.106110E+01  0.252073E+02  0.154238E+00
  0.106339E+01  0.251977E+02  0.154414E+00
  0.106567E+01  0.251409E+02  0.153507E+00
  0.106796E+01  0.249781E+02  0.154342E+00
  0.107024E+01  0.247227E+02  0.152320E+00
  0.107253E+01  0.249791E+02  0.153265E+00
  0.107481E+01  0.246536E+02  0.153214E+00
  0.107709E+01  0.243718E+02  0.152633E+00
  0.107938E+01  0.243701E+02  0.153017E+00
  0.108166E+01  0.242687E+02  0.150902E+00
  0.108395E+01  0.239899E+02  0.151950E+00
  0.108623E+01  0.240261E+02  0.151413E+00
  0.108852E+01  0.238676E+02  0.151191E+00
  0.109080E+01  0.242695E+02  0.152009E+00
  0.109309E+01  0.234765E+02  0.149974E+00
  0.109537E+01  0.235439E+02  0.150798E+00
  0.109766E+01  0.234037E+02  0.149686E+00
  0.109994E+01  0.228905E+02  0.149395E+00
  0.110222E+01  0.227041E+02  0.149770E+00
  0.110451E+01  0.226735E+02  0.148565E+00
  0.110679E+01  0.224485E+02  0.150267E+00
  0.110908E+01  0.224320E+02  0.147690E+00
  0.111136E+01  0.221029E+02  0.148723E+00
  0.111365E+01  0.220689E+02  0.148113E+00
  0.111593E+01  0.220649E+02  0.147610E+00
  0.111822E+01  0.223857E+02  0.148662E+00
  0.112050E+01  0.220961E+02  0.147156E+00
  0.112279E+01  0.218810E+02  0.147506E+00
  0.112507E+01  0.218544E+02  0.147083E+00
  0.112735E+01  0.216108E+02  0.147163E+00
  0.112964E+01  0.213494E+02  0.147233E+00
  0.113192E+01  0.215379E+02  0.146053E+00
  0.113421E+01  0.209992E+02  0.146753E+00
  0.113649E+01  0.212188E+02  0.145538E+00
  0.113878E+01  0.210435E+02  0.145583E+00
  0.114106E+01  0.209227E+02  0.145886E+00
  0.114335E+01  0.209995E+02  0.144830E+00
  0.114563E+01  0.206846E+02  0.145605E+00
  0.114792E+01  0.202860E+02  0.144355E+00
  0.115020E+01  0.201331E+02  0.144472E+00
  0.115249E+01  0.197471E+02  0.144115E+00
  0.115477E+01  0.200531E+02  0.144361E+00
  0.115705E+01  0.201927E+02  0.144090E+00
  0.115934E+01  0.202158E+02  0.143155E+00
  0.116162E+01  0.198649E+02  0.143793E+00
  0.116391E+01  0.197356E+02  0.142940E+00
  0.116619E+01  0.196961E+02  0.143472E+00
  0.116848E+01  0.193393E+02  0.142072E+00
  0.117076E+01  0.193565E+02  0.142665E+00
  0.117305E+01  0.194604E+02  0.143145E+00
  0.117533E+01  0.191663E+02  0.141932E+00
  0.117762E+01  0.190118E+02  0.142332E+00
  0.117990E+01  0.188025E+02  0.141393E+00
  0.118218E+01  0.189266E+02  0.141272E+00
  0.118447E+01  0.183283E+02  0.141578E+00
  0.118675E+01  0.182998E+02  0.140092E+00
  0.118904E+01  0.179567E+02  0.141036E+00
  0.119132E+01  0.179954E+02  0.139865E+00
  0.119361E+01  0.180407E+02  0.140223E+00
  0.119589E+01  0.178860E+02  0.140170E+00
  0.119818E+01  0.179376E+02  0.139145E+00
  0.120046E+01  0.180080E+02  0.140461E+00
  0.120275E+01  0.174631E+02  0.138770E+00
  0.120503E+01  0.174461E+02  0.139569E+00
  0.120731E+01  0.172110E+02  0.138669E+00
  0.120960E+01  0.172113E+02  0.138173E+00
  0.121188E+01  0.176964E+02  0.139203E+00
  0.121417E+01  0.171809E+02  0.138186E+00
  0.121645E+01  0.170715E+02  0.138523E+00
  0.121874E+01  0.169022E+02  0.137983E+00
  0.122102E+01  0.170438E+02  0.137511E+00
  0.122331E+01  0.163049E+02  0.137698E+00
  0.122559E+01  0.163656E+02  0.136585E+00
  0.122788E+01  0.167089E+02  0.138103E+00
  0.123016E+01  0.165067E+02  0.136375E+00
  0.123244E+01  0.163192E+02  0.136936E+00
