Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: myo
Parent(s): myo_112.dat myo_110.dat myo_108.dat myo_106.dat
  1.410400e+00   1.608370e+00   2.381540e-02
  1.413140e+00   1.593570e+00   2.384250e-02
  1.415870e+00   1.594870e+00   2.359480e-02
  1.418600e+00   1.592440e+00   2.352090e-02
  1.421340e+00   1.550420e+00   2.331030e-02
  1.424070e+00   1.548530e+00   2.346640e-02
  1.426810e+00   1.548200e+00   2.331270e-02
  1.429540e+00   1.524920e+00   2.334880e-02
  1.432270e+00   1.496830e+00   2.295390e-02
  1.435010e+00   1.532710e+00   2.343320e-02
  1.437740e+00   1.482260e+00   2.313900e-02
  1.440480e+00   1.492790e+00   2.303600e-02
  1.443210e+00   1.498440e+00   2.292880e-02
  1.445940e+00   1.440200e+00   2.296710e-02
  1.448680e+00   1.458150e+00   2.309110e-02
  1.451410e+00   1.446460e+00   2.295820e-02
  1.454150e+00   1.429610e+00   2.260070e-02
  1.456880e+00   1.389730e+00   2.259970e-02
  1.459620e+00   1.422050e+00   2.258120e-02
  1.462350e+00   1.387810e+00   2.239520e-02
  1.465080e+00   1.371570e+00   2.243780e-02
  1.467820e+00   1.356230e+00   2.225550e-02
  1.470550e+00   1.365450e+00   2.215500e-02
  1.473290e+00   1.328750e+00   2.191270e-02
  1.476020e+00   1.317160e+00   2.191840e-02
  1.478750e+00   1.307520e+00   2.159960e-02
  1.481490e+00   1.305170e+00   2.199660e-02
  1.484220e+00   1.313920e+00   2.182160e-02
  1.486960e+00   1.265790e+00   2.205410e-02
  1.489690e+00   1.299520e+00   2.148750e-02
  1.492420e+00   1.270070e+00   2.176450e-02
  1.495160e+00   1.281400e+00   2.172910e-02
  1.497890e+00   1.240540e+00   2.153700e-02
  1.500630e+00   1.276190e+00   2.176770e-02
  1.503360e+00   1.284590e+00   2.172910e-02
  1.506090e+00   1.245860e+00   2.169470e-02
  1.508830e+00   1.229820e+00   2.152160e-02
  1.511560e+00   1.211330e+00   2.146400e-02
  1.514300e+00   1.188300e+00   2.133120e-02
  1.517030e+00   1.188750e+00   2.155670e-02
  1.519760e+00   1.172440e+00   2.125700e-02
  1.522500e+00   1.143040e+00   2.126510e-02
  1.525230e+00   1.160710e+00   2.121190e-02
  1.527970e+00   1.154740e+00   2.123780e-02
  1.530700e+00   1.123560e+00   2.110940e-02
  1.533430e+00   1.131370e+00   2.108020e-02
  1.536170e+00   1.104910e+00   2.106250e-02
  1.538900e+00   1.096500e+00   2.071360e-02
  1.541640e+00   1.142380e+00   2.129110e-02
  1.544370e+00   1.099820e+00   2.089370e-02
  1.547100e+00   1.078370e+00   2.083370e-02
  1.549840e+00   1.083200e+00   2.095990e-02
  1.552570e+00   1.035620e+00   2.089050e-02
  1.555310e+00   1.050510e+00   2.080690e-02
  1.558040e+00   1.053610e+00   2.095720e-02
  1.560770e+00   1.063650e+00   2.072870e-02
  1.563510e+00   1.055020e+00   2.094780e-02
