 19-May-2006       (cal_033.dat - 1.000 *Avrag08.dat) /  5.0530               
cal_033.dat   Conc = .51E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag08.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.720703E+00  0.591122E+02  0.237332E+00
  0.722988E+00  0.589578E+02  0.232576E+00
  0.725272E+00  0.585379E+02  0.235592E+00
  0.727557E+00  0.584957E+02  0.232833E+00
  0.729842E+00  0.580503E+02  0.232689E+00
  0.732126E+00  0.581405E+02  0.232946E+00
  0.734411E+00  0.574860E+02  0.228989E+00
  0.736695E+00  0.569881E+02  0.231915E+00
  0.738980E+00  0.573940E+02  0.230179E+00
  0.741264E+00  0.574338E+02  0.230108E+00
  0.743549E+00  0.566948E+02  0.228972E+00
  0.745834E+00  0.561276E+02  0.225892E+00
  0.748118E+00  0.560720E+02  0.228529E+00
  0.750403E+00  0.558328E+02  0.225821E+00
  0.752687E+00  0.551069E+02  0.225727E+00
  0.754972E+00  0.548848E+02  0.225719E+00
  0.757256E+00  0.547012E+02  0.223183E+00
  0.759541E+00  0.540643E+02  0.224819E+00
  0.761825E+00  0.541522E+02  0.221959E+00
  0.764110E+00  0.540517E+02  0.223081E+00
  0.766395E+00  0.542648E+02  0.221847E+00
  0.768679E+00  0.542468E+02  0.221661E+00
  0.770964E+00  0.535322E+02  0.220758E+00
  0.773248E+00  0.534740E+02  0.218731E+00
  0.775533E+00  0.527894E+02  0.220237E+00
  0.777817E+00  0.524241E+02  0.217589E+00
  0.780102E+00  0.532775E+02  0.218783E+00
  0.782386E+00  0.522949E+02  0.218156E+00
  0.784671E+00  0.519885E+02  0.216438E+00
  0.786956E+00  0.521842E+02  0.218147E+00
  0.789240E+00  0.515215E+02  0.214120E+00
  0.791525E+00  0.512775E+02  0.215148E+00
  0.793809E+00  0.515751E+02  0.215047E+00
  0.796094E+00  0.511294E+02  0.214183E+00
  0.798378E+00  0.508876E+02  0.214140E+00
  0.800663E+00  0.506780E+02  0.211553E+00
  0.802948E+00  0.505122E+02  0.212870E+00
  0.805232E+00  0.501207E+02  0.211245E+00
  0.807517E+00  0.495892E+02  0.211323E+00
  0.809801E+00  0.492664E+02  0.210753E+00
  0.812086E+00  0.491585E+02  0.208683E+00
  0.814370E+00  0.491077E+02  0.209571E+00
  0.816655E+00  0.495086E+02  0.209019E+00
  0.818939E+00  0.485339E+02  0.207779E+00
  0.821224E+00  0.486863E+02  0.207378E+00
  0.823509E+00  0.482650E+02  0.206560E+00
  0.825793E+00  0.479111E+02  0.207875E+00
  0.828078E+00  0.479972E+02  0.204516E+00
  0.830362E+00  0.478437E+02  0.205593E+00
  0.832647E+00  0.476101E+02  0.205022E+00
  0.834931E+00  0.475244E+02  0.203718E+00
  0.837216E+00  0.473052E+02  0.204421E+00
  0.839500E+00  0.469012E+02  0.202376E+00
  0.841785E+00  0.462141E+02  0.202443E+00
  0.844070E+00  0.460617E+02  0.200552E+00
  0.846354E+00  0.459497E+02  0.201786E+00
  0.848639E+00  0.461672E+02  0.201110E+00
  0.850923E+00  0.455436E+02  0.199761E+00
  0.853208E+00  0.452501E+02  0.200201E+00
  0.855492E+00  0.447920E+02  0.198565E+00
  0.857777E+00  0.449351E+02  0.198522E+00
  0.860061E+00  0.447902E+02  0.197432E+00
  0.862346E+00  0.448696E+02  0.197638E+00
  0.864631E+00  0.445005E+02  0.198226E+00
  0.866915E+00  0.443477E+02  0.195763E+00
  0.869200E+00  0.442501E+02  0.197155E+00
  0.871484E+00  0.439385E+02  0.194797E+00
  0.873769E+00  0.437768E+02  0.195471E+00
  0.876053E+00  0.437912E+02  0.195735E+00
  0.878338E+00  0.437174E+02  0.193002E+00
  0.880623E+00  0.436845E+02  0.195189E+00
  0.882907E+00  0.431835E+02  0.192262E+00
  0.885192E+00  0.425407E+02  0.193168E+00
  0.887476E+00  0.425337E+02  0.191882E+00
  0.889761E+00  0.422268E+02  0.191134E+00
  0.892045E+00  0.415405E+02  0.191741E+00
  0.894330E+00  0.416036E+02  0.190164E+00
  0.896614E+00  0.412860E+02  0.189981E+00
  0.898899E+00  0.415618E+02  0.189204E+00
  0.901184E+00  0.411459E+02  0.189128E+00
  0.903468E+00  0.405896E+02  0.189971E+00
  0.905753E+00  0.403527E+02  0.187299E+00
  0.908037E+00  0.403008E+02  0.188433E+00
  0.910322E+00  0.396232E+02  0.187159E+00
  0.912606E+00  0.397330E+02  0.186999E+00
